q_scale,q_shift,n,m,rho_tor,omega_kHz,gamma_cs_a,omega_n_kHz,omega_n_cs_a,omega_e_plasma_kHz,omega_e_lab_kHz,peak_percentage,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
0.9,0.0,3,15,0.9733736489437965,61.55810927599785,-1.0572400451553563,21.088497899334847,0.7626326411393803,46.55774797811517,46.55774797811517,0.7623815636161803,2.125578672261289,2.7885369861203984,1.2077318261526653,0.007315805572437936,0.0005718723615686604,0.023913833078624033,1,2.630556730440035,9.770639284491459
0.9005,0.0,3,15,0.9732904420793402,46.67382385656783,0.0,21.154672665139792,0.7650257483518289,46.67382385656783,46.67382385656783,0.7642823022376973,2.120643989473241,2.7885369861203984,1.2063127421243607,0.007291977639598023,0.0005757421227335818,0.023965170683524526,1,2.5992405788871613,9.770639284491459
0.9009999999999999,0.0,3,15,0.9731240283504278,60.99222279968787,-1.0674108253364993,21.273964870365035,0.7693397649296118,46.876417687807795,46.876417687807795,0.7675997694380507,2.110854829441165,2.7885369861203984,1.2034640920699913,0.007240505344521096,0.0005835424495273831,0.024054716367771418,1,2.5366082757814548,9.770639284491459
0.9014999999999999,0.0,3,15,0.9729576146215153,47.07409138109778,0.0,21.391463221915423,0.7735889095865777,47.07409138109778,47.07409138109778,0.770836669544281,2.1011807622999124,2.7885369861203984,1.2006017490599081,0.007183874940734936,0.0005914236309137404,0.024144378304493667,1,2.473975972675749,9.770639284491459
0.9019999999999998,0.0,3,15,0.972874407757059,47.184162157226794,0.0,21.455484511806304,0.7759041397007231,47.1841621572268,47.1841621572268,0.7726390748163989,2.0963898873958793,2.7885369861203984,1.1991655388282088,0.00715359892035153,0.000595394455239671,0.024195924430937595,1,2.442659821122875,9.770639284491459
0.9024999999999997,0.0,3,15,0.9727079940281466,53.880015559460276,-0.19708872148331363,21.570320764818938,0.7800570137153459,47.374534616928656,47.374534616928656,0.7757564174671899,2.086887909817475,2.7885369861203984,1.196283269658012,0.007089067590703872,0.0006033963872426302,0.024285787778232083,1,2.380027518017169,9.770639284491459
0.9029999999999997,0.0,3,15,0.9725415802992341,47.560027654139354,0.0,21.683362185045176,0.7841449804011098,47.56002765413937,47.56002765413937,0.7787938597381324,2.0775002477563325,2.7885369861203984,1.1933880570855886,0.007019157778995428,0.0006114784405032905,0.024375775937697842,1,2.3173952149114627,9.770639284491459
0.9034999999999996,0.0,3,15,0.9723751665703215,47.74050953751179,0.0,21.79454476492667,0.7881657250244805,47.74050953751179,47.74050953751179,0.7817492445328296,2.0682265395654613,2.7885369861203984,1.1904797761290804,0.0069437989198432234,0.0006196402741356162,0.024465892828217217,1,2.2547629118057144,9.770639284491459
0.9039999999999996,0.0,3,15,0.9722919597058653,0.0,-79.03688402396061,21.85546582715233,0.7903688402396061,47.84206708765553,47.84206708765553,0.7834122460146024,2.063635332720473,2.7885369861203984,1.1890206992622645,0.006904052381882387,0.0006237509903559803,0.024517745171737052,1,2.2234467602528825,9.770639284491459
0.9044999999999995,0.0,3,15,0.9721255459769529,0.0,-79.42854332660988,21.963768382480072,0.7942854332660988,48.01482925293842,48.01482925293842,0.7862412206841676,2.054531854554071,2.7885369861203984,1.1860924963695492,0.006820380704634012,0.0006320317564822806,0.02460808380796247,1,2.160814457147176,9.770639284491459
0.9049999999999995,0.0,3,15,0.9719591322480403,0.0,-79.81309611747474,22.070105828386154,0.7981309611747475,48.182374245808774,48.182374245808774,0.7889847643302349,2.0455414051466,2.7885369861203984,1.183151028838181,0.006731054094249661,0.000640391255897158,0.024698561435192733,1,2.098182154041428,9.770639284491459
0.9054999999999994,0.0,3,15,0.9717927185191279,0.0,-80.19057693563728,22.174487715699115,0.8019057693563728,48.344739074739344,48.344739074739344,0.7916434829653061,2.03666357028005,2.7885369861203984,1.1801964354068122,0.0066359706183236715,0.0006488290196649597,0.024789182660550475,1,2.0355498509357224,9.770639284491459
0.9059999999999994,0.0,3,15,0.9717095116546717,0.0,-80.39884525158844,22.23207856228119,0.8039884525158844,48.43734580109822,48.43734580109822,0.7931599150074238,2.0322697218321903,2.7885369861203984,1.1787142243765159,0.006586239188825437,0.0006530770980478378,0.024841366970700773,1,2.00423369938289,9.770639284491459
0.9064999999999993,0.0,3,15,0.9715430979257591,52.13358650574673,-0.6775284402017634,22.33354530695369,0.8076578391097888,48.591987451114804,48.591987451114804,0.7956921668464786,2.0235599532432826,2.7885369861203984,1.175739981416448,0.006482286971311424,0.0006616313290716597,0.024932234167014802,1,1.9416013962771421,9.770639284491459
0.9069999999999993,0.0,3,15,0.9713766841968466,0.0,0.0,22.433050811979825,0.8112563005302386,48.74147037749877,48.74147037749877,0.7981399447588489,2.0149616385205897,2.7885369861203984,1.172752640112132,0.006375503661229909,0.0006702625505877311,0.025023255961439672,1,1.8789690931714358,9.770639284491459
0.9074999999999992,0.0,3,15,0.9712102704679342,53.88952708318621,-0.4497796219003511,22.530583975091048,0.814783435281004,48.885783279734355,48.885783279734355,0.8005030636989674,2.0064742638796345,2.7885369861203984,1.1697521614965967,0.006270240069410425,0.0006789702120058844,0.025114424777508925,1,1.8163367900657297,9.770639284491459
0.9079999999999991,0.0,3,15,0.9710438567390217,48.83860639492937,-0.49582309387155604,22.626130117925758,0.8182387125420276,49.024906588706415,49.024906588706415,0.8027812032232294,1.998097291821792,2.7885369861203984,1.1667384715456044,0.006166579158036677,0.0006877537390109623,0.025205729302817705,1,1.7537044869600236,9.770639284491459
0.9084999999999991,0.0,3,15,0.9708774430101093,0.0,0.0,22.719674523745145,0.8216216001053995,49.15882009496143,49.15882009496143,0.8049740324025105,1.9898301648049708,2.7885369861203984,1.163711458259835,0.006064517366028314,0.0006966125333347493,0.025297158264682578,1,1.6910721838543175,9.770639284491459
0.908999999999999,0.0,3,15,0.9707110292811967,0.0,0.0,22.811203907300325,0.8249316175308107,49.28750683585237,49.28750683585237,0.8070812734740336,1.9816723068285937,2.7885369861203984,1.160671003430853,0.005964052330010341,0.0007055459727619015,0.02538870043111157,1,1.6284398807485694,9.770639284491459
0.909499999999999,0.0,3,15,0.9705446155522842,0.0,0.0,22.90070426984514,0.8281682585754362,49.41094754501386,49.41094754501386,0.8091026109517111,1.9736231243877913,2.7885369861203984,1.1576169432516759,0.005865183205768294,0.000714553411541138,0.025480344613082486,1,1.565807577642863,9.770639284491459
