omega_omega_n,gamma_omega_n,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
0.0,0.0,2.0134015241583434,3.768733624722407,4.171287869311833,0.04144400774340963,0.010446548144792834,0.08182117874100533,1,4.634036289895349,10.0
0.0,0.0,1.9343214725462594,2.865420785977294,4.789275520506146,0.5972795120198798,0.000998882894883328,0.2606171149023342,1,4.323620970739152,10.0
0.0,0.0,0.2020368287586114,2.1882598115876513,3.143150242744309,0.0075698610672771316,0.0032166416801137077,0.25884134758591937,1,4.202342116463652,10.0
0.0,0.0,0.026542534726965158,4.554591606194922,2.654943802284291,0.0013020014297724669,0.0017967770745870282,0.07743469210906287,1,3.1022002191376865,10.0
0.0,0.0,0.3216256930659605,4.9116471673425846,3.2013249700795416,0.16569978014778386,0.002735168746635678,0.21099511319239272,1,0.1664689304623318,10.0
0.0,0.0,1.4145394419656845,3.105838182181475,4.380389972522657,0.03899950599841681,0.015470209148151618,0.15003055703051144,1,3.10886844280983,10.0
0.0,0.0,9.521335527979698,1.1001687091113133,2.3475249788678916,0.01616295828587536,0.004441702089237513,0.09746672149814889,1,4.439957779828373,10.0
0.0,0.0,0.033919781444709265,3.5218901380926635,1.7047673370989322,0.01909097385202916,0.008618606800569186,0.1485032651966689,1,4.417858482242835,10.0
0.0,0.0,0.2885665748429988,4.181194643435722,1.842182650951282,0.017572133030486208,0.07196009805288482,0.0620770048850917,1,0.2777216998714477,10.0
0.0,0.0,0.03417852963175038,1.0039924058047482,2.8414013097159834,0.0016858645646158521,0.012495550736464776,0.2426208586109749,1,1.7262476941852563,10.0
0.0,0.0,0.010132125723595089,1.9817222570266808,2.508104024958108,0.13449708483130235,0.001121197309376158,0.25975395028175696,1,4.040418917007132,10.0
0.0,0.0,0.39026457905738543,1.3970275128788958,1.8203085559658123,0.003482203802462812,0.004108855825608139,0.11789683561746167,1,1.6743204594676275,10.0
0.0,0.0,0.10027672000990762,3.727989424656321,2.67748901278995,0.21131605445517662,0.05255657086132447,0.242104901643923,1,2.572730683601818,10.0
0.0,0.0,0.21798863071150054,1.6843503941079319,1.2569387397133713,0.22316951185597517,0.003132538262994023,0.020143272648114455,1,3.4974676646541902,10.0
0.0,0.0,0.04278220124780196,1.2321331191501352,4.0127961617326235,0.00391614970901192,0.04667440544957242,0.08606293310210725,1,0.22835129479972294,10.0
0.0,0.0,1.1984167233780623,3.0850508304987443,1.82869684417734,0.0014077153669117273,0.022251670969095222,0.15940247798844628,1,4.842444509532875,10.0
0.0,0.0,0.010856843319584756,1.987969981856296,3.0856470577597537,0.6085250039418514,0.001249187855378197,0.08067719716644126,1,3.4563379346600493,10.0
0.0,0.0,0.08235530295828544,1.8720126327594597,4.528193728549911,0.03455841816429399,0.0008337610563822164,0.07140464212884935,1,0.2475503782321281,10.0
0.0,0.0,1.2726543639567351,4.095324709209574,1.6003025656952774,0.024890842912355784,0.0005892628583975444,0.22193478816643178,1,4.998784121100947,10.0
0.0,0.0,1.0693082321643357,1.1773163669758455,1.0574926398518838,0.046415888336127795,0.0056527107357856946,0.1818382146289933,1,1.8672404380408674,10.0
0.0,0.0,0.640885842747449,4.014829914620854,1.912473076192498,0.02793473877157862,0.007430221906087387,0.13613375232819808,1,nan,10.0
3.323139185197555,0.2083658810071909,2.7154598407104378,1.767013716539378,2.82627807821704,0.30015648767853426,0.017830764184300088,0.0789435742967537,1,0.1101042747061096,10.0
0.0,0.0,0.016478652374239944,3.55437442296938,0.9211990759103698,0.0025482417336644774,0.0028086034563433128,0.1107056924059427,1,0.003977955916594467,10.0
0.0,0.0,0.010181242461267448,2.9411630864641345,0.9038583382541885,0.08195800136894427,0.035546269091410634,0.20592579928494728,1,0.35436836555034,10.0
1.6011600339593217,0.06489487436810168,0.012534580706566299,4.3136101234688855,1.437662524507908,0.5570248719345163,0.07937158604511069,0.057486346322598685,1,4.203028706577149,10.0
2.322369407348955,0.03445813625901897,0.015996331735108556,4.841223678425953,2.814243207458549,0.2781918703923254,0.019021524890189427,0.16181296911920634,1,0.036996174198790754,10.0
